definition,definition_source,distinct_nonmissing_values,field,interpretation_caution,literal_header,missing_rows,nonmissing_rows,observed_storage_type,source_path,source_sha256,study_ID,table_id,units
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,17,D42.Anti.SARS.CoV.2.N.IgG..1,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",D42.Anti.SARS.CoV.2.N.IgG..1,0,17,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE250023_antibody.csv,1160279a0c3aa791d1711ca5710a86dd0f084d518e957c246ec3d8c314dce40c,GSE250023,HF:antibody/GSE250023_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,17,D0.Anti.SARS.CoV.2.N.IgG..2,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",D0.Anti.SARS.CoV.2.N.IgG..2,0,17,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE250023_antibody.csv,1160279a0c3aa791d1711ca5710a86dd0f084d518e957c246ec3d8c314dce40c,GSE250023,HF:antibody/GSE250023_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,17,D42.Anti.SARS.CoV.2.N.IgG..2,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",D42.Anti.SARS.CoV.2.N.IgG..2,0,17,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE250023_antibody.csv,1160279a0c3aa791d1711ca5710a86dd0f084d518e957c246ec3d8c314dce40c,GSE250023,HF:antibody/GSE250023_antibody.csv,not inferred; use source-specific assay/time documentation
Exported sample/row index; inspect uniqueness and relation to source sample accession per file.,Observed table keys; author alignment rule in dataset documentation,9,[unnamed_index],,,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Subject identifier within one study (unique per participant); useful when aligning with antibody raw data.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,9,ID,,ID,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,4,A/Solomon Islands/3/2006 (H1N1) D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Solomon Islands/3/2006 (H1N1) D0,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,A/Wisconsin/67/2005 (H3N2) D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Wisconsin/67/2005 (H3N2) D0,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,3,B/Malaysia/2506/2004 D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",B/Malaysia/2506/2004 D0,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,A/Solomon Islands/3/2006 (H1N1) D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Solomon Islands/3/2006 (H1N1) D28,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,A/Wisconsin/67/2005 (H3N2) D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Wisconsin/67/2005 (H3N2) D28,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,B/Malaysia/2506/2004 D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",B/Malaysia/2506/2004 D28,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Maximum fold change (MFC),data_dictionary/sources/hr_vilage/Meta_variable_description.csv,6,MFC,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,MFC,0,9,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
"Indicator of vaccine response (e.g., responder, moderate responder, or non-responder), defined based on Maximum Fold Change (MFC).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,3,responder,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,responder,0,9,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE29614_antibody.csv,3421e129084ba528716cfd2493df47c0d78d6d90399ab9e3ec24c12c97109ed5,GSE29614,HF:antibody/GSE29614_antibody.csv,not inferred; use source-specific assay/time documentation
Exported sample/row index; inspect uniqueness and relation to source sample accession per file.,Observed table keys; author alignment rule in dataset documentation,28,[unnamed_index],,,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Subject identifier within one study (unique per participant); useful when aligning with antibody raw data.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,28,ID,,ID,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,6,A/Solomon Islands/3/2006 (H1N1) D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Solomon Islands/3/2006 (H1N1) D0,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,A/Wisconsin/67/2005 (H3N2) D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Wisconsin/67/2005 (H3N2) D0,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,4,B/Malaysia/2506/2004 D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",B/Malaysia/2506/2004 D0,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,7,A/Solomon Islands/3/2006 (H1N1) D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Solomon Islands/3/2006 (H1N1) D28,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,6,A/Wisconsin/67/2005 (H3N2) D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Wisconsin/67/2005 (H3N2) D28,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,4,B/Malaysia/2506/2004 D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",B/Malaysia/2506/2004 D28,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Maximum fold change (MFC),data_dictionary/sources/hr_vilage/Meta_variable_description.csv,4,MFC,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,MFC,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
"Indicator of vaccine response (e.g., responder, moderate responder, or non-responder), defined based on Maximum Fold Change (MFC).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,3,responder,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,responder,0,28,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE29615_antibody.csv,8de590fc6ac85090023ad3b62c0537be42b61de5e35a3e888cd5472a6ec3b786,GSE29615,HF:antibody/GSE29615_antibody.csv,not inferred; use source-specific assay/time documentation
Exported sample/row index; inspect uniqueness and relation to source sample accession per file.,Observed table keys; author alignment rule in dataset documentation,28,[unnamed_index],,,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Subject identifier within one study (unique per participant); useful when aligning with antibody raw data.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,28,ID,,ID,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,8,A/Solomon Islands/3/2006 (H1N1) D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Solomon Islands/3/2006 (H1N1) D0,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,6,A/Wisconsin/67/2005 (H3N2) D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Wisconsin/67/2005 (H3N2) D0,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,7,B/Malaysia/2506/2004 D0,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",B/Malaysia/2506/2004 D0,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,7,A/Solomon Islands/3/2006 (H1N1) D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Solomon Islands/3/2006 (H1N1) D28,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,6,A/Wisconsin/67/2005 (H3N2) D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",A/Wisconsin/67/2005 (H3N2) D28,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,6,B/Malaysia/2506/2004 D28,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",B/Malaysia/2506/2004 D28,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Maximum fold change (MFC),data_dictionary/sources/hr_vilage/Meta_variable_description.csv,8,MFC,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,MFC,0,28,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
"Indicator of vaccine response (e.g., responder, moderate responder, or non-responder), defined based on Maximum Fold Change (MFC).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,3,responder,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,responder,0,28,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE29617_antibody.csv,d169c37674786e19c0f35bd4f8460c76761f775f9bdee4523857c02933bd2c58,GSE29617,HF:antibody/GSE29617_antibody.csv,not inferred; use source-specific assay/time documentation
Exported sample/row index; inspect uniqueness and relation to source sample accession per file.,Observed table keys; author alignment rule in dataset documentation,89,[unnamed_index],,,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Subject identifier within one study (unique per participant); useful when aligning with antibody raw data.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,89,ID,,ID,0,89,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,7,H1N1v1,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",H1N1v1,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,9,H1N1v3,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",H1N1v3,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,9,Bv1,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",Bv1,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,9,Bv3,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",Bv3,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,9,H3N2v1,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",H3N2v1,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,9,H3N2v3,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",H3N2v3,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Maximum fold change (MFC),data_dictionary/sources/hr_vilage/Meta_variable_description.csv,7,MFC,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,MFC,0,89,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
"Indicator of vaccine response (e.g., responder, moderate responder, or non-responder), defined based on Maximum Fold Change (MFC).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,3,responder,Derived response annotation; threshold/antigen set and baseline definitions are study-specific.,responder,0,89,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE41080_antibody.csv,8786f27d6d5be1fb773dface596a2a9907650d2bef540fe6f26aa14949c6efc4,GSE41080,HF:antibody/GSE41080_antibody.csv,not inferred; use source-specific assay/time documentation
Exported sample/row index; inspect uniqueness and relation to source sample accession per file.,Observed table keys; author alignment rule in dataset documentation,5,[unnamed_index],,,0,5,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Subject identifier within one study (unique per participant); useful when aligning with antibody raw data.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,5,ID,,ID,0,5,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,5,age,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",age,0,5,integer_like_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,2,ETHNICITY,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",ETHNICITY,0,5,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,2,GENDER,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",GENDER,0,5,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,3,RACE,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",RACE,0,5,text_or_mixed,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_Baseline,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_Baseline,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_Baseline,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_Baseline,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_Baseline,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_Baseline,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D1,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D1,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgG_D1,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgG_D1,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgM_D1,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgM_D1,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
Study-specific antibody measurement or derived column; preserve the literal antigen/visit label.,Observed file header; biological definition not supplied in common metadata dictionary,5,IgA_D2,"Assay, units, dilution limits and suffix interpretation require the original study; do not parse a numeric suffix as a universal day.",IgA_D2,0,5,numeric_text,data_dictionary/sources/hr_vilage/antibody/GSE45735_antibody.csv,6066e1ad3a5c9884b3d5579a10be2615a4c6f4d0bf5aae9755e368e20efa1edb,GSE45735,HF:antibody/GSE45735_antibody.csv,not inferred; use source-specific assay/time documentation
